dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	soundname	cog	sd	skewness	kurtosis	utterance	language	stimulus	cog_Bark	sd_bark	sd_distance
d16	giasa_1	13.98962	1.0266164	2298.669	0.003392294	nanai_d16_giasa	2370.4787325010093	3195.4457358532	1.9187553515829017	5.17073668157189	1	nanai	giasa	14.181344372705608	15.970898562416927	1.9612575121286682
d16	giasa_2	11.99931	-0.3456692	1690.356	-0.001171215	nanai_d16_giasa	1329.8686438009174	2491.848357295332	2.5274018491689194	7.917528472881006	2	nanai	giasa	10.389363357635991	14.48942314856889	1.9612575121286682
d16	giasa_3	13.98962	0.7393446	2298.669	0.002184784	nanai_d16_giasa	2156.741551579055	3034.00980112662	1.3066230923078317	1.5371081852164226	3	nanai	giasa	13.587725732614766	15.668492899642551	1.9612575121286682
d16	saji_1	12.56437	2.5564435	1841.089	0.010693373	nanai_d16_saji	5146.369913797398	3997.707852931712	0.12416230839174064	-0.913923474541563	1	nanai	saji	18.70649750167217	17.255648862771082	1.9612575121286682
d16	saji_2	12.80865	1.2463835	1911.072	0.004797154	nanai_d16_saji	558.0123436209316	1703.5315795603567	4.601279321421166	24.01061883746749	2	nanai	saji	5.233662619358847	12.050962437927897	1.9612575121286682
d16	saji_3	12.60266	2.222581	1851.855	0.008931129	nanai_d16_saji	628.7264549611108	1757.5845685146821	4.421245662818704	23.8009478187982	3	nanai	saji	5.819430908414096	12.258219368283404	1.9612575121286682
d16	sajna_1	13.98962	2.0944253	2298.669	0.007311427	nanai_d16_sajna	5524.253774693338	4136.655160658688	0.4070734927550444	-0.7919915856839723	1	nanai	sajna	19.120415795313168	17.450469108872632	1.9612575121286682
d16	sajna_2	13.98962	3.2244187	2298.669	0.011476333	nanai_d16_sajna	4563.905303336259	4416.57937404706	0.8474708009236779	-0.5917418150149416	2	nanai	sajna	18.012604979662424	17.82453015257731	1.9612575121286682
d16	sajna_3	13.98962	1.4062866	2298.669	0.004990068	nanai_d16_sajna	5688.789006804044	4799.579617479013	0.37827473959844066	-1.1757145671705487	3	nanai	sajna	19.292764584572375	18.30233190922621	1.9612575121286682
d16	sajrakta_1	13.11241	1.5493619	2002.588	0.005995013	nanai_d16_sajrakta	2103.4070938628274	2790.312652458687	2.5873460356289857	9.372088452538753	1	nanai	sajrakta	13.428132289375972	15.173493298183356	1.9612575121286682
d16	sajrakta_3	12.77176	4.3354074	1900.305	0.016868522	nanai_d16_sajrakta	2686.6172183896606	2872.7661162219415	2.2887179361790135	9.486103866389973	3	nanai	sajrakta	14.94657044228082	15.34665898203324	1.9612575121286682
d17	nəsasaqen_1	12.9894	4.767027	1964.905	0.018975082	chukchi_d17	5003.255264834301	2503.5513850422512	0.3309078316409939	0.8095900870759878	1	chukchi	nəsasaqen	18.542702454183704	14.518134336610068	0.9617925663881123
d17	nəsasaqen_2	12.84528	5.731073	1921.838	0.024773006	chukchi_d17	4043.7249636860356	3574.833392235399	0.2885979615327313	-1.2882385606499989	2	chukchi	nəsasaqen	17.320898305948038	16.617386735461448	0.9617925663881123
d17	nəsasaqen2_1	8.025049	1.477798	925.9277	0.01081301	chukchi_d17	3938.64572282493	3644.640704272741	0.3977544307142169	-1.2404159110163808	2	chukchi	nəsasaqen2	17.170796778019174	16.728044161115058	0.9617925663881123
d17	nəsasaqen2_2	8.345408	1.747373	974.3774	0.01264705	chukchi_d17	3818.6786850669605	3103.665327804208	0.23599371006779757	-1.0819713275283465	2	chukchi	nəsasaqen2	16.994410128950936	15.801245705281087	0.9617925663881123
d17	sajkok_1	12.9894	2.394127	1997.205	0.008736812	chukchi_d17_saikok	4122.822004555878	2217.874217853727	0.7860252768323726	1.9662457393116668	1	chukchi	sajkok	17.431362907572808	13.764751034777865	0.9617925663881123
d17	sajkok_2	12.46748	6.766647	1814.172	0.028763824	chukchi_d17_saikok	2171.030183982915	2157.4900464674356	1.511325837726787	2.899432653554605	2	chukchi	sajkok	13.629654733680166	13.589930666400226	0.9617925663881123
d19	nəsasaqen_1	18.68219	7.647321	5124.902	0.010340886	chukchi_d19	4996.728062848059	2558.1416451997384	-0.587182085729053	0.2686482768919123	1	chukchi	nəsasaqen	18.535134255866087	14.64987951773496	0.9617925663881123
d19	nəsasaqen_2	19.399	8.39095	5792.432	0.010730815	chukchi_d19	5642.3786910660965	3213.655769121617	-0.4226459806586806	-0.41714285339300794	2	chukchi	nəsasaqen	19.244614675138585	16.0038827426536	0.9617925663881123
