dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	delete
d28	коса_3	20.65952	4.011253	6998.291	0.005447303	
d28	коса_cf	20.7562	3.468047	6998.291	0.004485268	
d28	осанка_1	20.96369	2.150479	6998.291	0.002615143	
d28	осанка_2	20.74343	3.288318	6998.291	0.004541581	
d28	осанка_3	20.99997	2.841437	6998.291	0.003367697	
d28	осанка_cf	20.74343	3.953274	6201.562	0.006224521	
d28	посад_1	20.99997	2.833371	6274.237	0.004715682	delete
d28	посад_2	20.72206	3.060952	6998.291	0.004154522	delete
d28	посад_3	19.76033	5.332315	6158.496	0.007837782	delete
d28	посад_cf	18.78521	6.692181	5216.418	0.011071624	delete
d28	савва_1	20.99997	4.068862	6998.291	0.005680496	delete
d28	савва_2	20.5917	4.373413	6998.291	0.006527297	delete
d28	савва_3	18.96027	4.609147	5375.226	0.008012033	delete
d28	савва_cf	20.99997	3.899049	5983.539	0.007010941	delete
d28	санки_1	18.9924	3.789137	5404.834	0.006894662	delete
d28	санки_2	20.33831	3.90889	6793.726	0.005422257	delete
d28	санки_3	20.42804	3.021603	6898.7	0.004168105	delete
d28	санки_cf	20.68334	4.910464	5461.359	0.007315932	delete
d28	сахар_1	20.86536	4.741815	6998.291	0.0059815	
d28	сахар_2	20.41205	4.53895	6879.858	0.006181558	
d28	сахар_3	19.88788	3.969113	6293.079	0.00591797	
d28	сахар_cf	20.72635	4.279302	5227.185	0.00724639	
d28	саша_1	20.71992	3.374215	6998.291	0.005182368	delete
d28	саша_2	20.68334	3.791579	6998.291	0.005174591	delete
d28	саша_3	20.99997	4.29789	6998.291	0.006341956	delete
d28	саша_cf	20.54296	3.925045	6998.291	0.005818806	delete
d28	сэндвич_1	19.4589	3.207904	5851.648	0.005059117	delete
d28	сэндвич_2	20.99997	3.400163	6998.291	0.003817693	delete
d28	сэндвич_3	20.90661	3.752397	6319.995	0.005324134	delete
d28	сэндвич_cf	20.79219	4.776843	6998.291	0.006249394	delete
d28	сэр_1	19.38805	1.772578	5781.665	0.003137163	delete
d28	сэр_2	20.44852	4.73295	6922.925	0.005617323	delete
d28	сэр_3	20.99997	2.562114	6998.291	0.003766945	delete
d28	сэр_cf	20.87571	4.716459	5972.772	0.008407448	delete
d30	колбаса_1	19.17061	4.520786	5571.716	0.005538402	delete
d30	коса_1	19.64575	7.858733	6040.063	0.008521411	
d30	коса_2	19.68767	9.963839	6083.13	0.010568866	
d30	коса_3	19.73966	7.544964	6136.963	0.008046567	
